date,year,month,day,extended,country,country_txt,region,region_txt,State,city,latitude,longitude,multiple,success,suicide,attacktype1,attacktype1_txt,target_type,target_subtype,corp,target,nationality,group_name,gun_certain,weapon_type,weapon_subtype,no_killed,no_wounded
1976-02-13,1976,Feb,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.452331,3.419044,0,1,0,1,Assassination,Government (General),Head of State,Government of Nigeria,4th Head of State: General Murtala Ramat Mohammed,Nigeria,Coup plotters,0,Firearms,Automatic or Semi-Automatic Rifle,3,1
1980-01-17,1980,Jan,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kaduna,10.530204,7.437338,0,1,0,9,Unknown,Government (Diplomatic),Embassy/Consulate,Unknown,Consulate,Great Britain,Zimbabwe Patriotic Front,0,Unknown,Unknown Weapon Type,0,0
1983-11-11,1983,Nov,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,0,0,0,1,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Nigeria,"Senator Girgiri Lawan, Senator of ruling National Party",Nigeria,Unknown,0,Unknown,Unknown Weapon Type,0,1
1983-11-27,1983,Nov,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,1,Assassination,Government (General),"Government Personnel (excluding police, military)",Nigerian Ports Authority,"Chief Joe Nkpang, Assistant general Manager",Nigeria,Gang,0,Unknown,Unknown Weapon Type,1,0
1983-11-29,1983,Nov,Tue,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.455641,3.429865,0,0,0,1,Assassination,Government (General),Government Building/Facility/Office,Nigerian Federal House of Representatives,"Chief Edwin Ume-Ezeoke, former speaker",Nigeria,Unknown,0,Firearms,Unknown Gun Type,0,1
1988-01-23,1988,Jan,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,1,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Libya State Dept,Charge Aboubaker,Libya,Unknown,0,Firearms,Handgun,1,0
1988-03-13,1988,Mar,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,1,Assassination,Educational Institution,Teacher/Professor/Instructor,Language Teachers Based out of Saudi Embassy*,Teachers,Saudi Arabia,Unknown,0,Firearms,Handgun,3,0
1991-03-28,1991,Mar,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Katsina,Unknown,12.323997,7.520477,0,1,0,7,Facility/Infrastructure Attack,Journalists & Media,Newspaper Journalist/Staff/Facility,Government run newspaper,office,Nigeria,Katsina Muslim Society,0,Incendiary,Unknown Weapon Type,0,0
1991-08-30,1991,Aug,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Zamfara,Gusau City,12.169841,6.674302,0,1,0,7,Facility/Infrastructure Attack,Government (General),Judge/Attorney/Court,Government,"Courthouse, Bank, Guest house",Nigeria,Unknown,0,Incendiary,Unknown Weapon Type,2,0
1991-10-14,1991,Oct,Mon,0,147,Nigeria,11,Sub-Saharan Africa,Kano,Kano,11.974328,8.50026,0,1,0,7,Facility/Infrastructure Attack,Private Citizens & Property,Village/City/Town/Suburb,Unknown,Sabron  Gari Area,Nigeria,Muslim Militants,0,Firearms,Handgun,8,34
1992-01-05,1992,Jan,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Katsina,Katsina,12.990552,7.602981,0,1,0,8,Unarmed Assault,Police,Police Security Forces/Officers,Police,Unit,Nigeria,Shia Muslim extremists,0,Melee,Blunt Object,0,29
1992-02-19,1992,Feb,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Akwa Ibom,Utan Brama,4.595669,8.270638,0,1,0,2,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Unknown,Village of Utan Brama,Nigeria,Effiat ethnic roup or Jbibio Peoples,0,Incendiary,Unknown Weapon Type,80,0
1992-02-22,1992,Feb,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Edo,Benin City,6.336345,5.62175,0,1,0,1,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,National Republican Convention,"Member, George Jdah",Nigeria,Unknown,0,Firearms,Handgun,1,0
1992-03-13,1992,Mar,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Taraba,Jalingo,8.899997,11.366661,0,1,0,3,Bombing/Explosion,Religious Figures/Institutions,Unknown,Unknown,Christian Group,Nigeria,Muslims,0,Firearms,Automatic or Semi-Automatic Rifle,20,0
1992-05-14,1992,May,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,2,Armed Assault,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",Govt,City Center and Business area,Nigeria,Anti-Government Group,0,Incendiary,Unknown Weapon Type,11,0
1992-05-15,1992,May,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Ondo,Akure,7.25,5.195,0,1,0,7,Facility/Infrastructure Attack,Private Citizens & Property,Memorial/Cemetery/Monument,Govt,Statue of President Babingida,Nigeria,Unknown,0,Incendiary,Unknown Weapon Type,0,0
1992-05-17,1992,May,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kaduna,10.530204,7.437338,0,1,0,2,Armed Assault,Private Citizens & Property,Named Civilian,Unknown,Hausa Tribal group,Nigeria,Katap Ethic Group,0,Firearms,Automatic or Semi-Automatic Rifle,10,0
1992-05-17,1992,May,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Zango-Kataf,9.791087,8.281157,0,1,0,2,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Unknown,Kataf Ethnic Group,Nigeria,Hauso Ethnic Group,0,Firearms,Automatic or Semi-Automatic Rifle,13,100
