date,year,month,day,State,city,latitude,longitude,suicide,attacktype1_txt,target_type,target_subtype,target,group_name,weapon_type,weapon_subtype,no_killed,no_wounded
2/13/1976,1976,Feb,Fri,Lagos,Lagos,6.452331,3.419044,0,Assassination,Government (General),Head of State,4th Head of State: General Murtala Ramat Mohammed,Coup plotters,Firearms,Automatic or Semi-Automatic Rifle,3,1
1/17/1980,1980,Jan,Thu,Kaduna,Kaduna,10.530204,7.437338,0,Unknown,Government (Diplomatic),Embassy/Consulate,Consulate,Zimbabwe Patriotic Front,Unknown,Unknown Weapon Type,0,0
11/11/1983,1983,Nov,Fri,Unknown,Unknown,0,0,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Senator Girgiri Lawan, Senator of ruling National Party",Unknown,Unknown,Unknown Weapon Type,0,1
11/27/1983,1983,Nov,Sun,Lagos,Lagos,6.618911,3.305532,0,Assassination,Government (General),"Government Personnel (excluding police, military)","Chief Joe Nkpang, Assistant general Manager",Gang,Unknown,Unknown Weapon Type,1,0
11/29/1983,1983,Nov,Tue,Lagos,Lagos,6.455641,3.429865,0,Assassination,Government (General),Government Building/Facility/Office,"Chief Edwin Ume-Ezeoke, former speaker",Unknown,Firearms,Unknown Gun Type,0,1
1/23/1988,1988,Jan,Sat,Lagos,Lagos,6.618911,3.305532,0,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Charge Aboubaker,Unknown,Firearms,Handgun,1,0
3/13/1988,1988,Mar,Sun,Lagos,Lagos,6.618911,3.305532,0,Assassination,Educational Institution,Teacher/Professor/Instructor,Teachers,Unknown,Firearms,Handgun,3,0
3/28/1991,1991,Mar,Thu,Katsina,Unknown,12.323997,7.520477,0,Facility/Infrastructure Attack,Journalists & Media,Newspaper Journalist/Staff/Facility,office,Katsina Muslim Society,Incendiary,Unknown Weapon Type,0,0
8/30/1991,1991,Aug,Fri,Zamfara,Gusau City,12.169841,6.674302,0,Facility/Infrastructure Attack,Government (General),Judge/Attorney/Court,"Courthouse, Bank, Guest house",Unknown,Incendiary,Unknown Weapon Type,2,0
10/14/1991,1991,Oct,Mon,Kano,Kano,11.974328,8.50026,0,Facility/Infrastructure Attack,Private Citizens & Property,Village/City/Town/Suburb,Sabron  Gari Area,Muslim Militants,Firearms,Handgun,8,34
1/5/1992,1992,Jan,Sun,Katsina,Katsina,12.990552,7.602981,0,Unarmed Assault,Police,Police Security Forces/Officers,Unit,Shia Muslim extremists,Melee,Blunt Object,0,29
2/19/1992,1992,Feb,Wed,Akwa Ibom,Utan Brama,4.595669,8.270638,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Village of Utan Brama,Effiat ethnic roup or Jbibio Peoples,Incendiary,Unknown Weapon Type,80,0
2/22/1992,1992,Feb,Sat,Edo,Benin City,6.336345,5.62175,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Member, George Jdah",Unknown,Firearms,Handgun,1,0
3/13/1992,1992,Mar,Fri,Taraba,Jalingo,8.899997,11.366661,0,Bombing/Explosion,Religious Figures/Institutions,Unknown,Christian Group,Muslims,Firearms,Automatic or Semi-Automatic Rifle,20,0
5/14/1992,1992,May,Thu,Lagos,Lagos,6.618911,3.305532,0,Armed Assault,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",City Center and Business area,Anti-Government Group,Incendiary,Unknown Weapon Type,11,0
5/15/1992,1992,May,Fri,Ondo,Akure,7.25,5.195,0,Facility/Infrastructure Attack,Private Citizens & Property,Memorial/Cemetery/Monument,Statue of President Babingida,Unknown,Incendiary,Unknown Weapon Type,0,0
5/17/1992,1992,May,Sun,Kaduna,Kaduna,10.530204,7.437338,0,Armed Assault,Private Citizens & Property,Named Civilian,Hausa Tribal group,Katap Ethic Group,Firearms,Automatic or Semi-Automatic Rifle,10,0
5/17/1992,1992,May,Sun,Kaduna,Zango-Kataf,9.791087,8.281157,0,Armed Assault,Private Citizens & Property,Race/Ethnicity Identified,Kataf Ethnic Group,Hauso Ethnic Group,Firearms,Automatic or Semi-Automatic Rifle,13,100
5/21/1992,1992,May,Thu,Lagos,Lagos,6.618911,3.305532,0,Armed Assault,Business,Unknown,Yorba Traders in Idomuta Market,Igbo tribal group,Melee,Knife or Other Sharp Object,0,0
5/28/1992,1992,May,Thu,Lagos,Lagos,6.618911,3.305532,0,Hostage Taking (Kidnapping),Business,Industrial/Textiles/Factory,U.K. Businessman,Unknown,Firearms,Handgun,0,0
12/20/1992,1992,Dec,Sun,Lagos,Lagos,6.618911,3.305532,0,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)","Robin Cox, Admin. Officer, Austrailian Embassy",Unknown,Firearms,Handgun,0,1
2/9/1994,1994,Feb,Wed,Bayelsa,Brass area,4.31195,6.24629,0,Armed Assault,Maritime,Unknown,Riverboat,Unknown,Firearms,Automatic or Semi-Automatic Rifle,13,0
