,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
5626,Bayelsa,69.6,78.99032831,56.96880221,29.87142857,4.32,2021,01,30,0,0
1755,Abuja,66.4,60.14161724575931,43.095502428373365,16.94285714,4.78,2014,05,06,0,1
2344,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,02,01,0,0
4283,Ebonyi,67.2,87.78492808,70.04756331,11.41428571,5.1,2018,06,21,0,1
3034,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,04,20,0,1
5964,Zamfara,14.9,58.76550674,70.27255893,32.35714286,5.36,2021,06,14,1,1
3429,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,01,04,0,1
829,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,04,29,0,0
1483,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,10,31,0,1
1505,Abuja,66.4,60.14161724575931,43.095502428373365,16.94285714,4.78,2013,11,22,0,1
438,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2011,03,29,0,1
627,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,01,20,0,1
1354,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,05,04,0,0
5583,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2021,05,11,0,1
925,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2012,07,08,0,0
4539,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,12,23,0,0
3210,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,07,13,0,1
1912,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2014,07,05,0,0
4126,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2018,04,10,0,1
4856,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2019,06,26,0,1
1173,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,12,14,0,1
3442,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2017,01,13,0,1
2716,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,08,02,0,0
944,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,07,27,0,1
4768,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,04,29,0,1
5165,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2020,02,16,0,0
12,Edo,67.3,48.46425951,11.4923358,13.64285714,4.14,1992,02,22,0,0
1117,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,11,02,0,1
5821,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2021,04,29,0,1
3106,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2016,05,31,0,1
4556,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2018,12,27,0,1
642,Bauchi,22.7,62.27546334,71.5275526,24.32857143,6.72,2012,01,22,0,0
1302,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2013,03,22,0,1
2646,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2015,07,05,0,0
2676,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,07,15,0,1
1272,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,03,03,0,0
1297,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2013,03,18,0,1
5485,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2020,11,06,0,1
1397,Ondo,67.3,78.02134752,40.72911739,10.8,3.7,2013,06,30,0,0
2586,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,05,25,0,1
5791,Imo,76.8,41.88608527,24.77383316,21.7,4.38,2021,04,24,0,0
4864,Katsina,16.7,72.25455046,68.10233593,19.45714286,5.92,2019,07,07,0,0
653,Kano,27.8,45.01400292,52.19786167,17.02857143,6.36,2012,01,24,0,1
429,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2011,02,23,0,1
1539,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2014,01,06,0,1
5057,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,12,22,0,0
2515,Lagos,84.3,56.04365468,0.8463356644,15.21428571,4.08,2015,04,09,0,1
2850,Zamfara,14.9,58.76550674,70.27255893,32.35714286,5.36,2015,12,01,0,1
4309,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2018,07,04,0,1
2834,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,11,13,0,1
838,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2012,05,05,0,0
1087,Plateau,54.4,72.92360663,63.85478973,5.185714286,5.64,2012,10,21,0,0
3616,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,06,07,0,1
4966,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2019,09,09,0,1
1869,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2014,06,19,0,1
5872,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2021,05,16,0,0
4153,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2018,04,16,0,1
