State,Number of Attacks,longitude,latitude
Abia,28,7.367093,5.116561
Abuja,45,7.483243,9.066547
Adamawa,290,13.021111,10.249722
Akwa Ibom,59,8.270638,4.595669
Anambra,45,6.783333,6.166667
Bauchi,86,9.388505,10.219009
Bayelsa,136,6.24629,4.31195
Benue,419,8.536277,7.729979
Borno,2113,14.459066,12.202254
Cross River,23,8.324763,4.950354
Delta,236,5.753167,5.52372
Ebonyi,33,8.099836,6.332763
Edo,68,5.62175,6.336345
Ekiti,25,5.218291,7.620713
Enugu,56,7.411028,6.335508
Gombe,79,11.163861,10.286653
Imo,71,7.03632,5.486571
Jigawa,10,10.23771,12.78679
Kaduna,310,7.437338,10.530204
Kano,157,8.50026,11.974328
Katsina,45,7.520477,12.323997
Kebbi,2,4.195859,12.431352
Kogi,96,6.729729,7.78811
Kwara,17,4.551716,8.500509
Lagos,79,3.419044,6.452331
Nasarawa,134,8.408493,8.906292
Niger,40,7.178771,9.18531
Ogun,34,3.035081,7.238744
Ondo,46,5.195,7.25
Osun,32,4.566667,7.466666
Oyo,36,3.916667,7.396389
Plateau,340,9.748799,9.103389
Rivers,212,7.00545,4.78482
Sokoto,14,5.245744,13.05702
Taraba,142,11.366661,8.899997
Unknown,49,0.0,0.0
Yobe,320,11.970257,11.74464
Zamfara,71,6.674302,12.169841
