State,Variable,Value
Borno,Non-Suicide Attacks,1773
Yobe,Non-Suicide Attacks,280
Adamawa,Non-Suicide Attacks,264
Kano,Non-Suicide Attacks,133
Kaduna,Non-Suicide Attacks,295
Gombe,Non-Suicide Attacks,67
Plateau,Non-Suicide Attacks,334
Bauchi,Non-Suicide Attacks,80
Abuja,Non-Suicide Attacks,40
Lagos,Non-Suicide Attacks,77
Sokoto,Non-Suicide Attacks,12
Taraba,Non-Suicide Attacks,141
Unknown,Non-Suicide Attacks,48
Katsina,Non-Suicide Attacks,44
Niger,Non-Suicide Attacks,39
Benue,Non-Suicide Attacks,419
Delta,Non-Suicide Attacks,236
Rivers,Non-Suicide Attacks,212
Bayelsa,Non-Suicide Attacks,136
Nasarawa,Non-Suicide Attacks,134
Kogi,Non-Suicide Attacks,96
Imo,Non-Suicide Attacks,71
Zamfara,Non-Suicide Attacks,71
Edo,Non-Suicide Attacks,68
Akwa Ibom,Non-Suicide Attacks,59
Enugu,Non-Suicide Attacks,56
Ondo,Non-Suicide Attacks,46
Anambra,Non-Suicide Attacks,45
Oyo,Non-Suicide Attacks,36
Ogun,Non-Suicide Attacks,34
Ebonyi,Non-Suicide Attacks,33
Osun,Non-Suicide Attacks,32
Abia,Non-Suicide Attacks,28
Ekiti,Non-Suicide Attacks,25
Cross River,Non-Suicide Attacks,23
Kwara,Non-Suicide Attacks,17
Jigawa,Non-Suicide Attacks,10
Kebbi,Non-Suicide Attacks,2
Borno,Suicide Attacks,340
Yobe,Suicide Attacks,40
Adamawa,Suicide Attacks,26
Kano,Suicide Attacks,24
Kaduna,Suicide Attacks,15
Gombe,Suicide Attacks,12
Plateau,Suicide Attacks,6
Bauchi,Suicide Attacks,6
Abuja,Suicide Attacks,5
Lagos,Suicide Attacks,2
Sokoto,Suicide Attacks,2
Taraba,Suicide Attacks,1
Unknown,Suicide Attacks,1
Katsina,Suicide Attacks,1
Niger,Suicide Attacks,1
Benue,Suicide Attacks,0
Delta,Suicide Attacks,0
Rivers,Suicide Attacks,0
Bayelsa,Suicide Attacks,0
Nasarawa,Suicide Attacks,0
Kogi,Suicide Attacks,0
Imo,Suicide Attacks,0
Zamfara,Suicide Attacks,0
Edo,Suicide Attacks,0
Akwa Ibom,Suicide Attacks,0
Enugu,Suicide Attacks,0
Ondo,Suicide Attacks,0
Anambra,Suicide Attacks,0
Oyo,Suicide Attacks,0
Ogun,Suicide Attacks,0
Ebonyi,Suicide Attacks,0
Osun,Suicide Attacks,0
Abia,Suicide Attacks,0
Ekiti,Suicide Attacks,0
Cross River,Suicide Attacks,0
Kwara,Suicide Attacks,0
Jigawa,Suicide Attacks,0
Kebbi,Suicide Attacks,0
