State,Variable,Value
Borno,Suicide Attacks,340.0
Yobe,Suicide Attacks,40.0
Adamawa,Suicide Attacks,26.0
Kano,Suicide Attacks,24.0
Kaduna,Suicide Attacks,15.0
Gombe,Suicide Attacks,12.0
Plateau,Suicide Attacks,6.0
Bauchi,Suicide Attacks,6.0
Abuja,Suicide Attacks,5.0
Lagos,Suicide Attacks,2.0
Sokoto,Suicide Attacks,2.0
Taraba,Suicide Attacks,1.0
Unknown,Suicide Attacks,1.0
Katsina,Suicide Attacks,1.0
Niger,Suicide Attacks,1.0
Borno,Percentage,70.53941908713693
Yobe,Percentage,8.29875518672199
Adamawa,Percentage,5.394190871369295
Kano,Percentage,4.979253112033195
Kaduna,Percentage,3.112033195020747
Gombe,Percentage,2.4896265560165975
Plateau,Percentage,1.2448132780082988
Bauchi,Percentage,1.2448132780082988
Abuja,Percentage,1.0373443983402488
Lagos,Percentage,0.4149377593360996
Sokoto,Percentage,0.4149377593360996
Taraba,Percentage,0.2074688796680498
Unknown,Percentage,0.2074688796680498
Katsina,Percentage,0.2074688796680498
Niger,Percentage,0.2074688796680498
